# x_m, y_m, w_tr_right_m, w_tr_left_m
-53.0625, -32.7500, 1.5000, 1.5000
-53.0625, -32.8125, 1.5000, 1.5000
-53.0625, -32.8750, 1.5000, 1.5000
-53.0000, -32.9375, 1.5000, 1.5000
-53.0000, -33.0000, 1.5013, 1.5013
-53.0000, -33.0625, 1.5052, 1.5052
-53.0000, -33.1250, 1.5117, 1.5117
-52.9375, -33.1875, 1.4591, 1.4591
-52.9375, -33.2500, 1.4711, 1.4711
-52.9375, -33.3125, 1.4856, 1.4856
-52.9375, -33.3750, 1.5026, 1.5026
-52.9375, -33.4375, 1.5117, 1.5117
-52.9375, -33.5000, 1.5207, 1.5207
-52.9375, -33.5625, 1.5207, 1.5207
-52.9375, -33.6250, 1.5117, 1.5117
-52.9375, -33.6875, 1.5052, 1.5052
-52.8750, -33.7500, 1.5207, 1.5207
-52.8750, -33.8125, 1.5322, 1.5322
-52.8750, -33.8750, 1.5462, 1.5462
-52.8750, -33.9375, 1.5462, 1.5462
-52.8125, -34.0000, 1.5207, 1.5207
-52.8125, -34.0625, 1.5322, 1.5322
-52.8125, -34.1250, 1.5462, 1.5462
-52.8125, -34.1875, 1.5462, 1.5462
-52.7500, -34.2500, 1.5220, 1.5220
-52.7500, -34.3125, 1.5436, 1.5436
-52.7500, -34.3750, 1.5625, 1.5625
-52.7500, -34.4375, 1.5462, 1.5462
-52.7500, -34.5000, 1.5322, 1.5322
-52.6875, -34.5625, 1.5625, 1.5625
-52.6875, -34.6250, 1.5625, 1.5625
-52.6875, -34.6875, 1.5462, 1.5462
-52.6250, -34.7500, 1.5675, 1.5675
-52.6250, -34.8125, 1.5811, 1.5811
-52.6250, -34.8750, 1.5625, 1.5625
-52.5625, -34.9375, 1.5811, 1.5811
-52.5625, -35.0000, 1.5811, 1.5811
-52.5000, -35.0625, 1.5625, 1.5625
-52.5000, -35.1250, 1.5811, 1.5811
-52.5000, -35.1875, 1.5675, 1.5675
-52.4375, -35.2500, 1.5675, 1.5675
-52.4375, -35.3125, 1.5811, 1.5811
-52.3750, -35.3750, 1.5662, 1.5662
-52.3750, -35.4375, 1.5971, 1.5971
-52.3125, -35.5000, 1.5774, 1.5774
-52.3125, -35.5625, 1.6129, 1.6129
-52.3125, -35.6250, 1.5934, 1.5934
-52.2500, -35.6875, 1.6214, 1.6214
-52.2500, -35.7500, 1.5934, 1.5934
-52.1875, -35.8125, 1.6214, 1.6214
-52.1875, -35.8750, 1.5934, 1.5934
-52.1250, -35.9375, 1.6214, 1.6214
-52.0625, -36.0000, 1.5934, 1.5934
